Reference area,Sex,Occupation,Time,U.S. dollars
Afghanistan,Total,X. Not elsewhere classified,2020,304
Afghanistan,Male,Total,2020,175
Afghanistan,Male,1. Managers,2020,241
Afghanistan,Male,2. Professionals,2020,179
Afghanistan,Male,3. Technicians and associate professionals,2020,163
Afghanistan,Male,4. Clerical support workers,2020,210
Afghanistan,Male,5. Service and sales workers,2020,142
Afghanistan,Male,"6. Skilled agricultural, forestry and fishery workers",2020,140
Afghanistan,Male,7. Craft and related trades workers,2020,112
Afghanistan,Male,"8. Plant and machine operators, and assemblers",2020,167
Afghanistan,Male,9. Elementary occupations,2020,113
Afghanistan,Male,0. Armed forces occupations,2020,200
Afghanistan,Male,X. Not elsewhere classified,2020,291
Afghanistan,Female,Total,2020,141
Afghanistan,Female,1. Managers,2020,188
Afghanistan,Female,2. Professionals,2020,118
Afghanistan,Female,3. Technicians and associate professionals,2020,220
Afghanistan,Female,4. Clerical support workers,2020,207
Afghanistan,Female,5. Service and sales workers,2020,186
Afghanistan,Female,7. Craft and related trades workers,2020,112
Afghanistan,Female,9. Elementary occupations,2020,100
Afghanistan,Female,0. Armed forces occupations,2020,256
Albania,Total,Total,2012,3257
Albania,Total,1. Managers,2012,5752
Albania,Total,2. Professionals,2012,3991
Albania,Total,3. Technicians and associate professionals,2012,3727
Albania,Total,4. Clerical support workers,2012,3478
Albania,Total,5. Service and sales workers,2012,2530
Albania,Total,"6. Skilled agricultural, forestry and fishery workers",2012,2241
Albania,Total,7. Craft and related trades workers,2012,2826
Albania,Total,"8. Plant and machine operators, and assemblers",2012,3051
Albania,Total,9. Elementary occupations,2012,2605
Albania,Total,X. Not elsewhere classified,2012,2503
Albania,Male,Total,2012,3426
Albania,Male,1. Managers,2012,5814
Albania,Male,2. Professionals,2012,4301
Albania,Male,3. Technicians and associate professionals,2012,3943
Albania,Male,4. Clerical support workers,2012,3925
Albania,Male,5. Service and sales workers,2012,2646
Albania,Male,"6. Skilled agricultural, forestry and fishery workers",2012,2275
Albania,Male,7. Craft and related trades workers,2012,3076
Albania,Male,"8. Plant and machine operators, and assemblers",2012,3498
Albania,Male,9. Elementary occupations,2012,2904
Albania,Female,Total,2012,2959
Albania,Female,1. Managers,2012,5508
Albania,Female,2. Professionals,2012,3795
Albania,Female,3. Technicians and associate professionals,2012,3237
Albania,Female,4. Clerical support workers,2012,2844
Albania,Female,5. Service and sales workers,2012,2322
Albania,Female,"6. Skilled agricultural, forestry and fishery workers",2012,2039
Albania,Female,7. Craft and related trades workers,2012,1938
Albania,Female,"8. Plant and machine operators, and assemblers",2012,1744
Albania,Female,9. Elementary occupations,2012,1919
Albania,Total,Total,2015,372
Albania,Total,1. Managers,2015,754
Albania,Total,2. Professionals,2015,532
Albania,Total,3. Technicians and associate professionals,2015,399
Albania,Total,4. Clerical support workers,2015,367
Albania,Total,5. Service and sales workers,2015,272
Albania,Total,"6. Skilled agricultural, forestry and fishery workers",2015,187
Albania,Total,7. Craft and related trades workers,2015,256
Albania,Total,"8. Plant and machine operators, and assemblers",2015,268
Albania,Total,9. Elementary occupations,2015,202
Albania,Total,0. Armed forces occupations,2015,446
Albania,Male,Total,2015,384
Albania,Male,1. Managers,2015,709
Albania,Male,2. Professionals,2015,560
Albania,Male,3. Technicians and associate professionals,2015,411
Albania,Male,4. Clerical support workers,2015,356
Albania,Male,5. Service and sales workers,2015,292
Albania,Male,"6. Skilled agricultural, forestry and fishery workers",2015,191
Albania,Male,7. Craft and related trades workers,2015,264
Albania,Male,"8. Plant and machine operators, and assemblers",2015,315
Albania,Male,9. Elementary occupations,2015,203
Albania,Male,0. Armed forces occupations,2015,455
Albania,Female,Total,2015,358
Albania,Female,1. Managers,2015,834
Albania,Female,2. Professionals,2015,508
Albania,Female,3. Technicians and associate professionals,2015,381
Albania,Female,4. Clerical support workers,2015,377
Albania,Female,5. Service and sales workers,2015,235
Albania,Female,"6. Skilled agricultural, forestry and fishery workers",2015,166
Albania,Female,7. Craft and related trades workers,2015,262
Albania,Female,"8. Plant and machine operators, and assemblers",2015,237
Albania,Female,9. Elementary occupations,2015,195
Albania,Female,0. Armed forces occupations,2015,407
Albania,Total,Total,2016,383
Albania,Total,1. Managers,2016,773
Albania,Total,2. Professionals,2016,521
Albania,Total,3. Technicians and associate professionals,2016,420
Albania,Total,4. Clerical support workers,2016,385
Albania,Total,5. Service and sales workers,2016,281
Albania,Total,"6. Skilled agricultural, forestry and fishery workers",2016,223
Albania,Total,7. Craft and related trades workers,2016,253
Albania,Total,"8. Plant and machine operators, and assemblers",2016,258
Albania,Total,9. Elementary occupations,2016,219
Albania,Total,0. Armed forces occupations,2016,435
Albania,Total,X. Not elsewhere classified,2016,0
Albania,Male,Total,2016,403
Albania,Male,1. Managers,2016,780
Albania,Male,2. Professionals,2016,618
Albania,Male,3. Technicians and associate professionals,2016,443
Albania,Male,4. Clerical support workers,2016,375
Albania,Male,5. Service and sales workers,2016,307
Albania,Male,"6. Skilled agricultural, forestry and fishery workers",2016,227
Albania,Male,7. Craft and related trades workers,2016,281
Albania,Male,"8. Plant and machine operators, and assemblers",2016,296
Albania,Male,9. Elementary occupations,2016,225
Albania,Male,0. Armed forces occupations,2016,435
Albania,Male,X. Not elsewhere classified,2016,0
Albania,Female,Total,2016,357
Albania,Female,1. Managers,2016,755
Albania,Female,2. Professionals,2016,465
Albania,Female,3. Technicians and associate professionals,2016,388
Albania,Female,4. Clerical support workers,2016,392
Albania,Female,5. Service and sales workers,2016,240
Albania,Female,"6. Skilled agricultural, forestry and fishery workers",2016,213
Albania,Female,7. Craft and related trades workers,2016,207
Albania,Female,"8. Plant and machine operators, and assemblers",2016,212
Albania,Female,9. Elementary occupations,2016,209
Albania,Female,0. Armed forces occupations,2016,437
Albania,Female,X. Not elsewhere classified,2016,0
Albania,Total,Total,2017,411
Albania,Total,1. Managers,2017,801
Albania,Total,2. Professionals,2017,557
Albania,Total,3. Technicians and associate professionals,2017,454
Albania,Total,4. Clerical support workers,2017,427
Albania,Total,5. Service and sales workers,2017,309
Albania,Total,"6. Skilled agricultural, forestry and fishery workers",2017,251
Albania,Total,7. Craft and related trades workers,2017,282
Albania,Total,"8. Plant and machine operators, and assemblers",2017,287
Albania,Total,9. Elementary occupations,2017,243
Albania,Total,0. Armed forces occupations,2017,488
Albania,Total,X. Not elsewhere classified,2017,0
Albania,Male,Total,2017,432
Albania,Male,1. Managers,2017,801
Albania,Male,2. Professionals,2017,652
Albania,Male,3. Technicians and associate professionals,2017,475
Albania,Male,4. Clerical support workers,2017,423
Albania,Male,5. Service and sales workers,2017,337
Albania,Male,"6. Skilled agricultural, forestry and fishery workers",2017,256
Albania,Male,7. Craft and related trades workers,2017,316
Albania,Male,"8. Plant and machine operators, and assemblers",2017,330
Albania,Male,9. Elementary occupations,2017,250
Albania,Male,0. Armed forces occupations,2017,488
Albania,Male,X. Not elsewhere classified,2017,0
Albania,Female,Total,2017,386
Albania,Female,1. Managers,2017,800
Albania,Female,2. Professionals,2017,503
Albania,Female,3. Technicians and associate professionals,2017,424
Albania,Female,4. Clerical support workers,2017,429
Albania,Female,5. Service and sales workers,2017,268
Albania,Female,"6. Skilled agricultural, forestry and fishery workers",2017,237
Albania,Female,7. Craft and related trades workers,2017,228
Albania,Female,"8. Plant and machine operators, and assemblers",2017,234
Albania,Female,9. Elementary occupations,2017,232
Albania,Female,0. Armed forces occupations,2017,488
Albania,Female,X. Not elsewhere classified,2017,0
Albania,Total,Total,2018,468
Albania,Total,1. Managers,2018,917
Albania,Total,2. Professionals,2018,629
Albania,Total,3. Technicians and associate professionals,2018,525
Albania,Total,4. Clerical support workers,2018,492
Albania,Total,5. Service and sales workers,2018,350
Albania,Total,"6. Skilled agricultural, forestry and fishery workers",2018,287
Albania,Total,7. Craft and related trades workers,2018,323
Albania,Total,"8. Plant and machine operators, and assemblers",2018,328
Albania,Total,9. Elementary occupations,2018,282
Albania,Total,0. Armed forces occupations,2018,550
Albania,Total,X. Not elsewhere classified,2018,0
Albania,Male,Total,2018,492
Albania,Male,1. Managers,2018,920
Albania,Male,2. Professionals,2018,730
Albania,Male,3. Technicians and associate professionals,2018,555
Albania,Male,4. Clerical support workers,2018,485
Albania,Male,5. Service and sales workers,2018,383
Albania,Male,"6. Skilled agricultural, forestry and fishery workers",2018,293
Albania,Male,7. Craft and related trades workers,2018,361
Albania,Male,"8. Plant and machine operators, and assemblers",2018,374
Albania,Male,9. Elementary occupations,2018,292
Albania,Male,0. Armed forces occupations,2018,551
Albania,Male,X. Not elsewhere classified,2018,0
Albania,Female,Total,2018,440
Albania,Female,1. Managers,2018,911
Albania,Female,2. Professionals,2018,571
Albania,Female,3. Technicians and associate professionals,2018,484
Albania,Female,4. Clerical support workers,2018,496
Albania,Female,5. Service and sales workers,2018,301
Albania,Female,"6. Skilled agricultural, forestry and fishery workers",2018,270
Albania,Female,7. Craft and related trades workers,2018,263
Albania,Female,"8. Plant and machine operators, and assemblers",2018,271
Albania,Female,9. Elementary occupations,2018,268
Albania,Female,0. Armed forces occupations,2018,539
Albania,Female,X. Not elsewhere classified,2018,0
Albania,Total,Total,2019,477
Albania,Total,1. Managers,2019,887
Albania,Total,2. Professionals,2019,644
Albania,Total,3. Technicians and associate professionals,2019,542
Albania,Total,4. Clerical support workers,2019,511
Albania,Total,5. Service and sales workers,2019,358
Albania,Total,"6. Skilled agricultural, forestry and fishery workers",2019,297
Albania,Total,7. Craft and related trades workers,2019,329
Albania,Total,"8. Plant and machine operators, and assemblers",2019,331
Albania,Total,9. Elementary occupations,2019,290
Albania,Total,0. Armed forces occupations,2019,571
Albania,Total,X. Not elsewhere classified,2019,0
Albania,Male,Total,2019,500
Albania,Male,1. Managers,2019,882
Albania,Male,2. Professionals,2019,742
Albania,Male,3. Technicians and associate professionals,2019,588
Albania,Male,4. Clerical support workers,2019,525
Albania,Male,5. Service and sales workers,2019,396
Albania,Male,"6. Skilled agricultural, forestry and fishery workers",2019,302
Albania,Male,7. Craft and related trades workers,2019,361
Albania,Male,"8. Plant and machine operators, and assemblers",2019,371
Albania,Male,9. Elementary occupations,2019,299
Albania,Male,0. Armed forces occupations,2019,573
Albania,Male,X. Not elsewhere classified,2019,0
Albania,Female,Total,2019,450
Albania,Female,1. Managers,2019,895
Albania,Female,2. Professionals,2019,588
Albania,Female,3. Technicians and associate professionals,2019,488
Albania,Female,4. Clerical support workers,2019,498
Albania,Female,5. Service and sales workers,2019,304
Albania,Female,"6. Skilled agricultural, forestry and fishery workers",2019,281
Albania,Female,7. Craft and related trades workers,2019,274
Albania,Female,"8. Plant and machine operators, and assemblers",2019,281
Albania,Female,9. Elementary occupations,2019,276
Albania,Female,0. Armed forces occupations,2019,555
Albania,Female,X. Not elsewhere classified,2019,0
Albania,Total,Total,2020,494
Albania,Total,1. Managers,2020,883
Albania,Total,2. Professionals,2020,661
Albania,Total,3. Technicians and associate professionals,2020,552
Albania,Total,4. Clerical support workers,2020,534
Albania,Total,5. Service and sales workers,2020,372
Albania,Total,"6. Skilled agricultural, forestry and fishery workers",2020,304
Albania,Total,7. Craft and related trades workers,2020,339
Albania,Total,"8. Plant and machine operators, and assemblers",2020,340
Albania,Total,9. Elementary occupations,2020,295
Albania,Total,0. Armed forces occupations,2020,588
Albania,Total,X. Not elsewhere classified,2020,0
Albania,Male,Total,2020,509
Albania,Male,1. Managers,2020,874
Albania,Male,2. Professionals,2020,748
Albania,Male,3. Technicians and associate professionals,2020,585
Albania,Male,4. Clerical support workers,2020,549
Albania,Male,5. Service and sales workers,2020,413
Albania,Male,"6. Skilled agricultural, forestry and fishery workers",2020,311
Albania,Male,7. Craft and related trades workers,2020,367
Albania,Male,"8. Plant and machine operators, and assemblers",2020,374
Albania,Male,9. Elementary occupations,2020,302
Albania,Male,0. Armed forces occupations,2020,590
Albania,Male,X. Not elsewhere classified,2020,0
Albania,Female,Total,2020,476
Albania,Female,1. Managers,2020,897
Albania,Female,2. Professionals,2020,612
Albania,Female,3. Technicians and associate professionals,2020,513
Albania,Female,4. Clerical support workers,2020,521
Albania,Female,5. Service and sales workers,2020,314
Albania,Female,"6. Skilled agricultural, forestry and fishery workers",2020,281
Albania,Female,7. Craft and related trades workers,2020,283
Albania,Female,"8. Plant and machine operators, and assemblers",2020,288
Albania,Female,9. Elementary occupations,2020,283
Albania,Female,0. Armed forces occupations,2020,575
Albania,Female,X. Not elsewhere classified,2020,0
Argentina,Total,Total,2010,621
Argentina,Total,1. Managers,2010,1467
Argentina,Total,2. Professionals,2010,837
Argentina,Total,3. Technicians and associate professionals,2010,853
Argentina,Total,4. Clerical support workers,2010,714
Argentina,Total,5. Service and sales workers,2010,532
Argentina,Total,"6. Skilled agricultural, forestry and fishery workers",2010,637
Argentina,Total,7. Craft and related trades workers,2010,554
Argentina,Total,"8. Plant and machine operators, and assemblers",2010,675
Argentina,Total,9. Elementary occupations,2010,313
Argentina,Total,X. Not elsewhere classified,2010,698
Argentina,Male,Total,2010,695
Argentina,Male,1. Managers,2010,1617
Argentina,Male,2. Professionals,2010,1014
Argentina,Male,3. Technicians and associate professionals,2010,933
Argentina,Male,4. Clerical support workers,2010,779
Argentina,Male,5. Service and sales workers,2010,616
Argentina,Male,"6. Skilled agricultural, forestry and fishery workers",2010,600
Argentina,Male,7. Craft and related trades workers,2010,556
Argentina,Male,"8. Plant and machine operators, and assemblers",2010,681
Argentina,Male,9. Elementary occupations,2010,410
Argentina,Male,X. Not elsewhere classified,2010,711
Argentina,Female,Total,2010,525
Argentina,Female,1. Managers,2010,1252
Argentina,Female,2. Professionals,2010,744
Argentina,Female,3. Technicians and associate professionals,2010,743
Argentina,Female,4. Clerical support workers,2010,659
Argentina,Female,5. Service and sales workers,2010,416
Argentina,Female,"6. Skilled agricultural, forestry and fishery workers",2010,830
Argentina,Female,7. Craft and related trades workers,2010,468
Argentina,Female,"8. Plant and machine operators, and assemblers",2010,471
Argentina,Female,9. Elementary occupations,2010,253
Argentina,Female,X. Not elsewhere classified,2010,663
Argentina,Total,Total,2011,767
Argentina,Total,1. Managers,2011,1735
Argentina,Total,2. Professionals,2011,1015
Argentina,Total,3. Technicians and associate professionals,2011,1043
Argentina,Total,4. Clerical support workers,2011,884
Argentina,Total,5. Service and sales workers,2011,670
Argentina,Total,"6. Skilled agricultural, forestry and fishery workers",2011,702
Argentina,Total,7. Craft and related trades workers,2011,702
Argentina,Total,"8. Plant and machine operators, and assemblers",2011,803
Argentina,Total,9. Elementary occupations,2011,376
Argentina,Total,X. Not elsewhere classified,2011,1037
Argentina,Male,Total,2011,862
Argentina,Male,1. Managers,2011,2009
Argentina,Male,2. Professionals,2011,1239
Argentina,Male,3. Technicians and associate professionals,2011,1130
Argentina,Male,4. Clerical support workers,2011,977
Argentina,Male,5. Service and sales workers,2011,772
Argentina,Male,"6. Skilled agricultural, forestry and fishery workers",2011,729
Argentina,Male,7. Craft and related trades workers,2011,709
Argentina,Male,"8. Plant and machine operators, and assemblers",2011,834
Argentina,Male,9. Elementary occupations,2011,489
Argentina,Male,X. Not elsewhere classified,2011,1065
Argentina,Female,Total,2011,643
Argentina,Female,1. Managers,2011,1355
Argentina,Female,2. Professionals,2011,886
Argentina,Female,3. Technicians and associate professionals,2011,919
Argentina,Female,4. Clerical support workers,2011,805
Argentina,Female,5. Service and sales workers,2011,534
Argentina,Female,"6. Skilled agricultural, forestry and fishery workers",2011,541
Argentina,Female,7. Craft and related trades workers,2011,583
Argentina,Female,"8. Plant and machine operators, and assemblers",2011,522
Argentina,Female,9. Elementary occupations,2011,306
Argentina,Female,X. Not elsewhere classified,2011,991
Argentina,Total,Total,2012,865
Argentina,Total,1. Managers,2012,1986
Argentina,Total,2. Professionals,2012,1112
Argentina,Total,3. Technicians and associate professionals,2012,1163
Argentina,Total,4. Clerical support workers,2012,1014
Argentina,Total,5. Service and sales workers,2012,769
Argentina,Total,"6. Skilled agricultural, forestry and fishery workers",2012,733
Argentina,Total,7. Craft and related trades workers,2012,802
Argentina,Total,"8. Plant and machine operators, and assemblers",2012,915
Argentina,Total,9. Elementary occupations,2012,434
Argentina,Total,X. Not elsewhere classified,2012,1073
Argentina,Male,Total,2012,972
Argentina,Male,1. Managers,2012,2127
Argentina,Male,2. Professionals,2012,1365
Argentina,Male,3. Technicians and associate professionals,2012,1277
Argentina,Male,4. Clerical support workers,2012,1115
Argentina,Male,5. Service and sales workers,2012,896
Argentina,Male,"6. Skilled agricultural, forestry and fishery workers",2012,777
Argentina,Male,7. Craft and related trades workers,2012,808
Argentina,Male,"8. Plant and machine operators, and assemblers",2012,938
Argentina,Male,9. Elementary occupations,2012,573
Argentina,Male,X. Not elsewhere classified,2012,1074
Argentina,Female,Total,2012,728
Argentina,Female,1. Managers,2012,1760
Argentina,Female,2. Professionals,2012,978
Argentina,Female,3. Technicians and associate professionals,2012,1007
Argentina,Female,4. Clerical support workers,2012,929
Argentina,Female,5. Service and sales workers,2012,609
Argentina,Female,"6. Skilled agricultural, forestry and fishery workers",2012,407
Argentina,Female,7. Craft and related trades workers,2012,688
Argentina,Female,"8. Plant and machine operators, and assemblers",2012,676
Argentina,Female,9. Elementary occupations,2012,350
Argentina,Female,X. Not elsewhere classified,2012,1072
Argentina,Total,Total,2013,912
Argentina,Total,1. Managers,2013,1949
Argentina,Total,2. Professionals,2013,1161
Argentina,Total,3. Technicians and associate professionals,2013,1238
Argentina,Total,4. Clerical support workers,2013,1066
Argentina,Total,5. Service and sales workers,2013,788
Argentina,Total,"6. Skilled agricultural, forestry and fishery workers",2013,650
Argentina,Total,7. Craft and related trades workers,2013,827
Argentina,Total,"8. Plant and machine operators, and assemblers",2013,982
Argentina,Total,9. Elementary occupations,2013,468
Argentina,Total,X. Not elsewhere classified,2013,1186
Argentina,Male,Total,2013,1025
Argentina,Male,1. Managers,2013,2142
Argentina,Male,2. Professionals,2013,1454
Argentina,Male,3. Technicians and associate professionals,2013,1343
Argentina,Male,4. Clerical support workers,2013,1157
Argentina,Male,5. Service and sales workers,2013,925
Argentina,Male,"6. Skilled agricultural, forestry and fishery workers",2013,658
Argentina,Male,7. Craft and related trades workers,2013,831
Argentina,Male,"8. Plant and machine operators, and assemblers",2013,1011
Argentina,Male,9. Elementary occupations,2013,619
Argentina,Male,X. Not elsewhere classified,2013,1214
Argentina,Female,Total,2013,769
Argentina,Female,1. Managers,2013,1702
Argentina,Female,2. Professionals,2013,1009
Argentina,Female,3. Technicians and associate professionals,2013,1091
Argentina,Female,4. Clerical support workers,2013,985
Argentina,Female,5. Service and sales workers,2013,627
Argentina,Female,"6. Skilled agricultural, forestry and fishery workers",2013,584
Argentina,Female,7. Craft and related trades workers,2013,757
Argentina,Female,"8. Plant and machine operators, and assemblers",2013,657
Argentina,Female,9. Elementary occupations,2013,380
Argentina,Female,X. Not elsewhere classified,2013,1140
Argentina,Total,Total,2014,800
Argentina,Total,1. Managers,2014,1759
Argentina,Total,2. Professionals,2014,1014
Argentina,Total,3. Technicians and associate professionals,2014,1036
Argentina,Total,4. Clerical support workers,2014,917
Argentina,Total,5. Service and sales workers,2014,691
Argentina,Total,"6. Skilled agricultural, forestry and fishery workers",2014,628
Argentina,Total,7. Craft and related trades workers,2014,731
Argentina,Total,"8. Plant and machine operators, and assemblers",2014,855
Argentina,Total,9. Elementary occupations,2014,418
Argentina,Total,X. Not elsewhere classified,2014,1107
Argentina,Male,Total,2014,898
Argentina,Male,1. Managers,2014,1900
Argentina,Male,2. Professionals,2014,1276
Argentina,Male,3. Technicians and associate professionals,2014,1128
Argentina,Male,4. Clerical support workers,2014,985
Argentina,Male,5. Service and sales workers,2014,830
Argentina,Male,"6. Skilled agricultural, forestry and fishery workers",2014,630
Argentina,Male,7. Craft and related trades workers,2014,743
Argentina,Male,"8. Plant and machine operators, and assemblers",2014,877
Argentina,Male,9. Elementary occupations,2014,549
Argentina,Male,X. Not elsewhere classified,2014,1128
Argentina,Female,Total,2014,674
Argentina,Female,1. Managers,2014,1557
Argentina,Female,2. Professionals,2014,882
Argentina,Female,3. Technicians and associate professionals,2014,918
Argentina,Female,4. Clerical support workers,2014,858
Argentina,Female,5. Service and sales workers,2014,528
Argentina,Female,"6. Skilled agricultural, forestry and fishery workers",2014,606
Argentina,Female,7. Craft and related trades workers,2014,546
Argentina,Female,"8. Plant and machine operators, and assemblers",2014,617
Argentina,Female,9. Elementary occupations,2014,339
Argentina,Female,X. Not elsewhere classified,2014,1067
Argentina,Total,Total,2017,875
Argentina,Total,1. Managers,2017,2015
Argentina,Total,2. Professionals,2017,1116
Argentina,Total,3. Technicians and associate professionals,2017,1223
Argentina,Total,4. Clerical support workers,2017,1075
Argentina,Total,5. Service and sales workers,2017,734
Argentina,Total,"6. Skilled agricultural, forestry and fishery workers",2017,683
Argentina,Total,7. Craft and related trades workers,2017,813
Argentina,Total,"8. Plant and machine operators, and assemblers",2017,928
Argentina,Total,9. Elementary occupations,2017,476
Argentina,Total,X. Not elsewhere classified,2017,892
Argentina,Male,Total,2017,989
Argentina,Male,1. Managers,2017,2322
Argentina,Male,2. Professionals,2017,1369
Argentina,Male,3. Technicians and associate professionals,2017,1305
Argentina,Male,4. Clerical support workers,2017,1197
Argentina,Male,5. Service and sales workers,2017,892
Argentina,Male,"6. Skilled agricultural, forestry and fishery workers",2017,704
Argentina,Male,7. Craft and related trades workers,2017,821
Argentina,Male,"8. Plant and machine operators, and assemblers",2017,966
Argentina,Male,9. Elementary occupations,2017,608
Argentina,Male,X. Not elsewhere classified,2017,1001
Argentina,Female,Total,2017,740
Argentina,Female,1. Managers,2017,1667
Argentina,Female,2. Professionals,2017,985
Argentina,Female,3. Technicians and associate professionals,2017,1109
Argentina,Female,4. Clerical support workers,2017,981
Argentina,Female,5. Service and sales workers,2017,569
Argentina,Female,"6. Skilled agricultural, forestry and fishery workers",2017,553
Argentina,Female,7. Craft and related trades workers,2017,680
Argentina,Female,"8. Plant and machine operators, and assemblers",2017,557
Argentina,Female,9. Elementary occupations,2017,389
Argentina,Female,X. Not elsewhere classified,2017,761
Argentina,Total,Total,2018,657
Argentina,Total,1. Managers,2018,1689
Argentina,Total,2. Professionals,2018,848
Argentina,Total,3. Technicians and associate professionals,2018,877
Argentina,Total,4. Clerical support workers,2018,769
Argentina,Total,5. Service and sales workers,2018,542
Argentina,Total,"6. Skilled agricultural, forestry and fishery workers",2018,520
Argentina,Total,7. Craft and related trades workers,2018,618
Argentina,Total,"8. Plant and machine operators, and assemblers",2018,707
Argentina,Total,9. Elementary occupations,2018,339
Argentina,Total,X. Not elsewhere classified,2018,913
Argentina,Male,Total,2018,745
Argentina,Male,1. Managers,2018,1924
Argentina,Male,2. Professionals,2018,1058
Argentina,Male,3. Technicians and associate professionals,2018,953
Argentina,Male,4. Clerical support workers,2018,840
Argentina,Male,5. Service and sales workers,2018,652
Argentina,Male,"6. Skilled agricultural, forestry and fishery workers",2018,526
Argentina,Male,7. Craft and related trades workers,2018,624
Argentina,Male,"8. Plant and machine operators, and assemblers",2018,731
Argentina,Male,9. Elementary occupations,2018,440
Argentina,Male,X. Not elsewhere classified,2018,955
Argentina,Female,Total,2018,555
Argentina,Female,1. Managers,2018,1424
Argentina,Female,2. Professionals,2018,740
Argentina,Female,3. Technicians and associate professionals,2018,783
Argentina,Female,4. Clerical support workers,2018,718
Argentina,Female,5. Service and sales workers,2018,426
Argentina,Female,"6. Skilled agricultural, forestry and fishery workers",2018,506
Argentina,Female,7. Craft and related trades workers,2018,521
Argentina,Female,"8. Plant and machine operators, and assemblers",2018,469
Argentina,Female,9. Elementary occupations,2018,277
Argentina,Female,X. Not elsewhere classified,2018,841
Argentina,Total,Total,2019,531
Argentina,Total,1. Managers,2019,1299
Argentina,Total,2. Professionals,2019,695
Argentina,Total,3. Technicians and associate professionals,2019,720
Argentina,Total,4. Clerical support workers,2019,622
Argentina,Total,5. Service and sales workers,2019,417
Argentina,Total,"6. Skilled agricultural, forestry and fishery workers",2019,385
Argentina,Total,7. Craft and related trades workers,2019,476
Argentina,Total,"8. Plant and machine operators, and assemblers",2019,563
Argentina,Total,9. Elementary occupations,2019,266
Argentina,Total,X. Not elsewhere classified,2019,749
Argentina,Male,Total,2019,597
Argentina,Male,1. Managers,2019,1399
Argentina,Male,2. Professionals,2019,834
Argentina,Male,3. Technicians and associate professionals,2019,779
Argentina,Male,4. Clerical support workers,2019,675
Argentina,Male,5. Service and sales workers,2019,507
Argentina,Male,"6. Skilled agricultural, forestry and fishery workers",2019,378
Argentina,Male,7. Craft and related trades workers,2019,479
Argentina,Male,"8. Plant and machine operators, and assemblers",2019,585
Argentina,Male,9. Elementary occupations,2019,347
Argentina,Male,X. Not elsewhere classified,2019,766
Argentina,Female,Total,2019,454
Argentina,Female,1. Managers,2019,1178
Argentina,Female,2. Professionals,2019,619
Argentina,Female,3. Technicians and associate professionals,2019,644
Argentina,Female,4. Clerical support workers,2019,583
Argentina,Female,5. Service and sales workers,2019,325
Argentina,Female,"6. Skilled agricultural, forestry and fishery workers",2019,406
Argentina,Female,7. Craft and related trades workers,2019,425
Argentina,Female,"8. Plant and machine operators, and assemblers",2019,331
Argentina,Female,9. Elementary occupations,2019,214
Argentina,Female,X. Not elsewhere classified,2019,721
Argentina,Total,Total,2020,514
Argentina,Total,1. Managers,2020,1179
Argentina,Total,2. Professionals,2020,639
Argentina,Total,3. Technicians and associate professionals,2020,670
