sectorID	countryCode	year	sex	monthlyEarnings
8. Plant and machine operators, and assemblers	ARG	2013	Female	657
4. Clerical support workers	ARG	2011	Male	977
5. Service and sales workers	ARG	2011	Male	772
6. Skilled agricultural, forestry and fishery workers	ARG	2011	Male	729
7. Craft and related trades workers	ARG	2011	Male	709
8. Plant and machine operators, and assemblers	ARG	2011	Male	834
9. Elementary occupations	ARG	2011	Male	489
Total	ARG	2011	Female	643
3. Technicians and associate professionals	ARG	2019	Female	644
4. Clerical support workers	ARG	2019	Female	583
5. Service and sales workers	ARG	2019	Female	325
X. Not elsewhere classified	ARG	2014	Male	1128
Total	ARG	2014	Female	674
8. Plant and machine operators, and assemblers	ARG	2019	Female	331
Total	ARG	2014	Male	898
1. Managers	ARG	2014	Male	1900
2. Professionals	ARG	2014	Male	1276
3. Technicians and associate professionals	ARG	2014	Male	1128
X. Not elsewhere classified	ARG	2011	Female	991
2. Professionals	ARG	2019	Female	619
7. Craft and related trades workers	ARG	2014	Male	743
8. Plant and machine operators, and assemblers	ARG	2014	Male	877
9. Elementary occupations	ARG	2014	Male	549
4. Clerical support workers	ARG	2013	Female	985
5. Service and sales workers	ARG	2013	Female	627
6. Skilled agricultural, forestry and fishery workers	ARG	2013	Female	584
7. Craft and related trades workers	ARG	2013	Female	757
7. Craft and related trades workers	ARG	2019	Male	479
8. Plant and machine operators, and assemblers	ARG	2019	Male	585
9. Elementary occupations	ARG	2019	Male	347
X. Not elsewhere classified	ARG	2019	Male	766
Total	ARG	2019	Female	454
Total	ARG	2017	Male	989
1. Managers	ARG	2017	Male	2322
2. Professionals	ARG	2017	Male	1369
3. Technicians and associate professionals	ARG	2011	Female	919
4. Clerical support workers	ARG	2011	Female	805
9. Elementary occupations	ARG	2019	Female	214
X. Not elsewhere classified	ARG	2019	Female	721
1. Managers	ARG	2019	Female	1178
1. Managers	ARG	2014	Female	1557
Total	ARG	2012	Male	972
X. Not elsewhere classified	ARG	2013	Male	1214
Total	ARG	2013	Female	769
1. Managers	ARG	2013	Female	1702
3. Technicians and associate professionals	ARG	2013	Female	1091
X. Not elsewhere classified	ARG	2014	Female	1067
Total	ARG	2010	Male	695
1. Managers	ARG	2010	Male	1617
2. Professionals	ARG	2010	Male	1014
3. Technicians and associate professionals	ARG	2010	Male	933
4. Clerical support workers	ARG	2010	Male	779
5. Service and sales workers	ARG	2010	Male	616
6. Skilled agricultural, forestry and fishery workers	ARG	2010	Male	600
5. Service and sales workers	ARG	2011	Female	534
6. Skilled agricultural, forestry and fishery workers	ARG	2011	Female	541
7. Craft and related trades workers	ARG	2011	Female	583
8. Plant and machine operators, and assemblers	ARG	2011	Female	522
9. Elementary occupations	ARG	2011	Female	306
9. Elementary occupations	ARG	2017	Male	608
X. Not elsewhere classified	ARG	2017	Male	1001
Total	ARG	2017	Female	740
X. Not elsewhere classified	ARG	2010	Female	663
2. Professionals	ARG	2014	Female	882
3. Technicians and associate professionals	ARG	2014	Female	918
4. Clerical support workers	ARG	2014	Female	858
5. Service and sales workers	ARG	2014	Female	528
6. Skilled agricultural, forestry and fishery workers	ARG	2014	Female	606
7. Craft and related trades workers	ARG	2014	Female	546
2. Professionals	ARG	2013	Female	1009
2. Professionals	ARG	2019	Male	834
3. Technicians and associate professionals	ARG	2019	Male	779
4. Clerical support workers	ARG	2019	Male	675
5. Service and sales workers	ARG	2019	Male	507
6. Skilled agricultural, forestry and fishery workers	ARG	2019	Male	378
6. Skilled agricultural, forestry and fishery workers	ARG	2020	Female	201
7. Craft and related trades workers	ARG	2020	Female	401
8. Plant and machine operators, and assemblers	ARG	2020	Female	331
9. Elementary occupations	ARG	2020	Female	201
X. Not elsewhere classified	ARG	2020	Female	523
X. Not elsewhere classified	ARG	2012	Female	1072
7. Craft and related trades workers	ARG	2010	Male	556
8. Plant and machine operators, and assemblers	ARG	2010	Male	681
9. Elementary occupations	ARG	2010	Male	410
X. Not elsewhere classified	ARG	2010	Male	711
Total	ARG	2010	Female	525
1. Managers	ARG	2010	Female	1252
2. Professionals	ARG	2010	Female	744
3. Technicians and associate professionals	ARG	2010	Female	743
4. Clerical support workers	ARG	2010	Female	659
5. Service and sales workers	ARG	2010	Female	416
6. Skilled agricultural, forestry and fishery workers	ARG	2010	Female	830
7. Craft and related trades workers	ARG	2010	Female	468
8. Plant and machine operators, and assemblers	ARG	2010	Female	471
9. Elementary occupations	ARG	2010	Female	253
5. Service and sales workers	ARG	2017	Female	569
6. Skilled agricultural, forestry and fishery workers	ARG	2017	Female	553
7. Craft and related trades workers	ARG	2017	Female	680
8. Plant and machine operators, and assemblers	ARG	2017	Female	557
9. Elementary occupations	ARG	2017	Female	389
1. Managers	ARG	2012	Male	2127
2. Professionals	ARG	2012	Male	1365
3. Technicians and associate professionals	ARG	2012	Male	1277
8. Plant and machine operators, and assemblers	ARG	2014	Female	617
9. Elementary occupations	ARG	2014	Female	339
8. Plant and machine operators, and assemblers	ARG	2020	Male	517
9. Elementary occupations	ARG	2020	Male	330
X. Not elsewhere classified	ARG	2020	Male	655
Total	ARG	2020	Female	446
1. Managers	ARG	2020	Female	1011
2. Professionals	ARG	2020	Female	571
3. Technicians and associate professionals	ARG	2020	Female	596
4. Clerical support workers	ARG	2020	Female	534
5. Service and sales workers	ARG	2020	Female	313
5. Service and sales workers	ARG	2012	Female	609
6. Skilled agricultural, forestry and fishery workers	ARG	2012	Female	407
7. Craft and related trades workers	ARG	2012	Female	688
8. Plant and machine operators, and assemblers	ARG	2012	Female	676
9. Elementary occupations	ARG	2012	Female	350
3. Technicians and associate professionals	ARG	2018	Male	953
4. Clerical support workers	ARG	2018	Male	840
5. Service and sales workers	ARG	2018	Male	652
3. Technicians and associate professionals	ARG	2017	Male	1305
4. Clerical support workers	ARG	2017	Male	1197
5. Service and sales workers	ARG	2017	Male	892
6. Skilled agricultural, forestry and fishery workers	ARG	2017	Male	704
7. Craft and related trades workers	ARG	2017	Male	821
8. Plant and machine operators, and assemblers	ARG	2017	Male	966
1. Managers	ARG	2017	Female	1667
2. Professionals	ARG	2017	Female	985
3. Technicians and associate professionals	ARG	2017	Female	1109
4. Clerical support workers	ARG	2017	Female	981
4. Clerical support workers	ARG	2013	Male	1157
5. Service and sales workers	ARG	2013	Male	925
6. Skilled agricultural, forestry and fishery workers	ARG	2013	Male	658
7. Craft and related trades workers	ARG	2013	Male	831
8. Plant and machine operators, and assemblers	ARG	2013	Male	1011
9. Elementary occupations	ARG	2013	Male	619
Total	ARG	2019	Male	597
1. Managers	ARG	2019	Male	1399
3. Technicians and associate professionals	ARG	2011	Male	1130
1. Managers	ARG	2012	Female	1760
2. Professionals	ARG	2012	Female	978
3. Technicians and associate professionals	ARG	2012	Female	1007
4. Clerical support workers	ARG	2012	Female	929
Total	ARG	2018	Male	745
1. Managers	ARG	2018	Male	1924
2. Professionals	ARG	2018	Male	1058
Total	ARG	2013	Male	1025
1. Managers	ARG	2013	Male	2142
2. Professionals	ARG	2013	Male	1454
Total	ARG	2018	Female	555
1. Managers	ARG	2018	Female	1424
2. Professionals	ARG	2018	Female	740
3. Technicians and associate professionals	ARG	2013	Male	1343
3. Technicians and associate professionals	ARG	2018	Female	783
4. Clerical support workers	ARG	2018	Female	718
5. Service and sales workers	ARG	2018	Female	426
Total	ARG	2011	Male	862
1. Managers	ARG	2011	Male	2009
2. Professionals	ARG	2011	Male	1239
Total	ARG	2012	Female	728
4. Clerical support workers	ARG	2012	Male	1115
5. Service and sales workers	ARG	2012	Male	896
6. Skilled agricultural, forestry and fishery workers	ARG	2012	Male	777
6. Skilled agricultural, forestry and fishery workers	ARG	2018	Female	506
7. Craft and related trades workers	ARG	2018	Female	521
6. Skilled agricultural, forestry and fishery workers	ARG	2018	Male	526
7. Craft and related trades workers	ARG	2018	Male	624
8. Plant and machine operators, and assemblers	ARG	2018	Male	731
9. Elementary occupations	ARG	2018	Male	440
X. Not elsewhere classified	ARG	2018	Male	955
X. Not elsewhere classified	ARG	2017	Female	761
4. Clerical support workers	ARG	2020	Male	614
5. Service and sales workers	ARG	2020	Male	462
7. Craft and related trades workers	ARG	2012	Male	808
8. Plant and machine operators, and assemblers	ARG	2012	Male	938
8. Plant and machine operators, and assemblers	ARG	2018	Female	469
9. Elementary occupations	ARG	2018	Female	277
Total	ARG	2020	Male	574
1. Managers	ARG	2020	Male	1342
2. Professionals	ARG	2020	Male	776
3. Technicians and associate professionals	ARG	2020	Male	733
X. Not elsewhere classified	ARG	2012	Male	1074
6. Skilled agricultural, forestry and fishery workers	ARG	2020	Male	312
7. Craft and related trades workers	ARG	2020	Male	452
9. Elementary occupations	ARG	2012	Male	573
X. Not elsewhere classified	ARG	2018	Female	841
6. Skilled agricultural, forestry and fishery workers	ARM	2019	Male	202
1. Managers	ARM	2019	Female	406
9. Elementary occupations	ARM	2019	Male	212
Total	ARM	2019	Female	196
1. Managers	ARM	2019	Male	409
2. Professionals	ARM	2019	Male	357
3. Technicians and associate professionals	ARM	2019	Male	289
4. Clerical support workers	ARM	2019	Male	300
7. Craft and related trades workers	ARM	2019	Male	271
8. Plant and machine operators, and assemblers	ARM	2019	Male	252
4. Clerical support workers	ARM	2016	Female	153
5. Service and sales workers	ARM	2016	Female	147
6. Skilled agricultural, forestry and fishery workers	ARM	2016	Female	128
7. Craft and related trades workers	ARM	2016	Female	153
2. Professionals	ARM	2019	Female	221
3. Technicians and associate professionals	ARM	2019	Female	191
4. Clerical support workers	ARM	2019	Female	186
5. Service and sales workers	ARM	2019	Female	186
6. Skilled agricultural, forestry and fishery workers	ARM	2019	Female	231
7. Craft and related trades workers	ARM	2019	Female	174
5. Service and sales workers	ARM	2019	Male	248
2. Professionals	ARM	2016	Female	183
3. Technicians and associate professionals	ARM	2016	Female	160
Total	ARM	2019	Male	277
7. Craft and related trades workers	ARM	2016	Male	224
8. Plant and machine operators, and assemblers	ARM	2016	Male	234
9. Elementary occupations	ARM	2016	Male	178
8. Plant and machine operators, and assemblers	ARM	2019	Female	171
9. Elementary occupations	ARM	2019	Female	147
1. Managers	ARM	2015	Male	346
2. Professionals	ARM	2015	Male	319
3. Technicians and associate professionals	ARM	2015	Male	256
4. Clerical support workers	ARM	2015	Male	222
5. Service and sales workers	ARM	2015	Male	222
Total	ARM	2016	Female	166
1. Managers	ARM	2016	Female	289
Total	ARM	2015	Male	249
Total	ARM	2013	Male	270
1. Managers	ARM	2013	Male	373
2. Professionals	ARM	2013	Male	311
3. Technicians and associate professionals	ARM	2013	Male	255
4. Clerical support workers	ARM	2013	Male	241
5. Service and sales workers	ARM	2013	Male	239
6. Skilled agricultural, forestry and fishery workers	ARM	2013	Male	183
7. Craft and related trades workers	ARM	2013	Male	269
8. Plant and machine operators, and assemblers	ARM	2013	Male	258
4. Clerical support workers	ARM	2020	Female	185
5. Service and sales workers	ARM	2020	Female	171
6. Skilled agricultural, forestry and fishery workers	ARM	2020	Female	180
7. Craft and related trades workers	ARM	2020	Female	163
8. Plant and machine operators, and assemblers	ARM	2020	Female	201
9. Elementary occupations	ARM	2020	Female	149
6. Skilled agricultural, forestry and fishery workers	ARM	2015	Male	212
7. Craft and related trades workers	ARM	2015	Male	220
8. Plant and machine operators, and assemblers	ARM	2015	Male	228
9. Elementary occupations	ARM	2015	Male	178
Total	ARM	2015	Female	166
1. Managers	ARM	2015	Female	251
2. Professionals	ARM	2015	Female	181
3. Technicians and associate professionals	ARM	2015	Female	163
4. Clerical support workers	ARM	2015	Female	164
5. Service and sales workers	ARM	2015	Female	150
6. Skilled agricultural, forestry and fishery workers	ARM	2015	Female	143
7. Craft and related trades workers	ARM	2015	Female	145
8. Plant and machine operators, and assemblers	ARM	2015	Female	214
9. Elementary occupations	ARM	2015	Female	127
4. Clerical support workers	ARM	2017	Male	235
5. Service and sales workers	ARM	2017	Male	229
6. Skilled agricultural, forestry and fishery workers	ARM	2017	Male	169
7. Craft and related trades workers	ARM	2017	Male	239
8. Plant and machine operators, and assemblers	ARM	2017	Male	236
9. Elementary occupations	ARM	2017	Male	184
Total	ARM	2017	Female	175
1. Managers	ARM	2017	Female	332
5. Service and sales workers	ARM	2020	Male	255
6. Skilled agricultural, forestry and fishery workers	ARM	2020	Male	197
7. Craft and related trades workers	ARM	2020	Male	276
8. Plant and machine operators, and assemblers	ARM	2020	Male	282
9. Elementary occupations	ARM	2020	Male	205
Total	ARM	2020	Female	198
1. Managers	ARM	2020	Female	334
2. Professionals	ARM	2020	Female	232
3. Technicians and associate professionals	ARM	2020	Female	191
8. Plant and machine operators, and assemblers	ARM	2016	Female	173
9. Elementary occupations	ARM	2016	Female	125
6. Skilled agricultural, forestry and fishery workers	ARM	2018	Male	192
7. Craft and related trades workers	ARM	2018	Male	251
8. Plant and machine operators, and assemblers	ARM	2018	Male	254
Total	ARM	2017	Male	253
1. Managers	ARM	2017	Male	335
2. Professionals	ARM	2017	Male	324
3. Technicians and associate professionals	ARM	2017	Male	271
7. Craft and related trades workers	ARM	2018	Female	163
8. Plant and machine operators, and assemblers	ARM	2018	Female	163
9. Elementary occupations	ARM	2018	Female	133
6. Skilled agricultural, forestry and fishery workers	ARM	2014	Female	178
7. Craft and related trades workers	ARM	2014	Female	188
8. Plant and machine operators, and assemblers	ARM	2014	Female	169
9. Elementary occupations	ARM	2014	Female	154
6. Skilled agricultural, forestry and fishery workers	ARM	2016	Male	141
8. Plant and machine operators, and assemblers	ARM	2017	Female	187
9. Elementary occupations	ARM	2017	Female	132
2. Professionals	ARM	2018	Female	221
Total	ARM	2018	Male	264
1. Managers	ARM	2018	Male	344
2. Professionals	ARM	2018	Male	347
3. Technicians and associate professionals	ARM	2018	Male	276
4. Clerical support workers	ARM	2018	Male	253
5. Service and sales workers	ARM	2018	Male	244
Total	ARM	2014	Male	282
1. Managers	ARM	2014	Male	391
9. Elementary occupations	ARM	2018	Male	197
Total	ARM	2018	Female	186
1. Managers	ARM	2018	Female	297
1. Managers	ARM	2016	Male	362
3. Technicians and associate professionals	ARM	2018	Female	171
4. Clerical support workers	ARM	2018	Female	184
5. Service and sales workers	ARM	2018	Female	170
6. Skilled agricultural, forestry and fishery workers	ARM	2018	Female	161
Total	ARM	2020	Male	286
1. Managers	ARM	2020	Male	455
2. Professionals	ARM	2020	Male	357
3. Technicians and associate professionals	ARM	2020	Male	279
4. Clerical support workers	ARM	2020	Male	273
4. Clerical support workers	ARM	2014	Male	278
2. Professionals	ARM	2016	Male	290
3. Technicians and associate professionals	ARM	2016	Male	258
4. Clerical support workers	ARM	2016	Male	223
5. Service and sales workers	ARM	2016	Male	236
7. Craft and related trades workers	ARM	2017	Female	158
6. Skilled agricultural, forestry and fishery workers	ARM	2013	Female	158
7. Craft and related trades workers	ARM	2013	Female	155
8. Plant and machine operators, and assemblers	ARM	2013	Female	174
9. Elementary occupations	ARM	2013	Female	128
0. Armed forces occupations	ARM	2013	Female	372
Total	ARM	2013	Female	172
5. Service and sales workers	ARM	2014	Male	223
6. Skilled agricultural, forestry and fishery workers	ARM	2014	Male	234
7. Craft and related trades workers	ARM	2014	Male	260
3. Technicians and associate professionals	ARM	2014	Female	164
4. Clerical support workers	ARM	2014	Female	189
5. Service and sales workers	ARM	2014	Female	180
2. Professionals	ARM	2014	Male	328
3. Technicians and associate professionals	ARM	2014	Male	279
2. Professionals	ARM	2017	Female	198
3. Technicians and associate professionals	ARM	2017	Female	156
4. Clerical support workers	ARM	2017	Female	166
8. Plant and machine operators, and assemblers	ARM	2014	Male	281
9. Elementary occupations	ARM	2014	Male	196
1. Managers	ARM	2014	Female	245
2. Professionals	ARM	2014	Female	191
9. Elementary occupations	ARM	2013	Male	176
0. Armed forces occupations	ARM	2013	Male	383
5. Service and sales workers	ARM	2017	Female	157
Total	ARM	2016	Male	249
1. Managers	ARM	2013	Female	243
6. Skilled agricultural, forestry and fishery workers	ARM	2017	Female	154
5. Service and sales workers	ARM	2013	Female	161
Total	ARM	2014	Female	183
2. Professionals	ARM	2013	Female	196
3. Technicians and associate professionals	ARM	2013	Female	145
4. Clerical support workers	ARM	2013	Female	173
0. Armed forces occupations	ABW	2010	Female	3296
X. Not elsewhere classified	ABW	2010	Female	977
2. Professionals	ABW	2010	Female	2634
3. Technicians and associate professionals	ABW	2010	Female	1964
4. Clerical support workers	ABW	2010	Female	1532
5. Service and sales workers	ABW	2010	Female	1056
6. Skilled agricultural, forestry and fishery workers	ABW	2010	Female	1387
7. Craft and related trades workers	ABW	2010	Female	992
8. Plant and machine operators, and assemblers	ABW	2010	Female	1075
9. Elementary occupations	ABW	2010	Female	755
9. Elementary occupations	ABW	2010	Male	1051
0. Armed forces occupations	ABW	2010	Male	3091
Total	ABW	2010	Male	1865
6. Skilled agricultural, forestry and fishery workers	ABW	2010	Male	1219
7. Craft and related trades workers	ABW	2010	Male	1410
3. Technicians and associate professionals	ABW	2010	Male	2410
8. Plant and machine operators, and assemblers	ABW	2010	Male	1303
2. Professionals	ABW	2010	Male	3203
1. Managers	ABW	2010	Female	3044
Total	ABW	2010	Female	1516
1. Managers	ABW	2010	Male	3629
5. Service and sales workers	ABW	2010	Male	1380
X. Not elsewhere classified	ABW	2010	Male	1168
4. Clerical support workers	ABW	2010	Male	1632
X. Not elsewhere classified	AUS	2016	Male	3209
Total	AUS	2016	Female	3252
4. Clerical support workers	AUS	2016	Male	4003
9. Elementary occupations	AUS	2016	Female	1898
X. Not elsewhere classified	AUS	2016	Female	2188
9. Elementary occupations	AUS	2016	Male	3038
Total	AUS	2016	Male	4690
1. Managers	AUS	2016	Male	7888
2. Professionals	AUS	2016	Male	6140
3. Technicians and associate professionals	AUS	2016	Male	4595
5. Service and sales workers	AUS	2016	Male	2529
8. Plant and machine operators, and assemblers	AUS	2016	Male	4382
1. Managers	AUS	2016	Female	6554
2. Professionals	AUS	2016	Female	4603
3. Technicians and associate professionals	AUS	2016	Female	2795
4. Clerical support workers	AUS	2016	Female	3126
