"sectorID"	"countryName"	"year"	"sex"	"monthlyEarnings"
"8. Plant and machine operators, and assemblers"	"Afghanistan"	2014	"Total"	181
"X. Not elsewhere classified"	"Afghanistan"	2014	"Female"	82
"2. Professionals"	"Afghanistan"	2020	"Male"	179
"X. Not elsewhere classified"	"Afghanistan"	2014	"Male"	208
"Total"	"Afghanistan"	2014	"Female"	93
"6. Skilled agricultural, forestry and fishery workers"	"Afghanistan"	2020	"Male"	140
"1. Managers"	"Afghanistan"	2014	"Female"	257
"0. Armed forces occupations"	"Afghanistan"	2020	"Female"	256
"3. Technicians and associate professionals"	"Afghanistan"	2014	"Female"	159
"9. Elementary occupations"	"Afghanistan"	2020	"Male"	113
"6. Skilled agricultural, forestry and fishery workers"	"Afghanistan"	2014	"Male"	97
"X. Not elsewhere classified"	"Afghanistan"	2020	"Male"	291
"7. Craft and related trades workers"	"Afghanistan"	2014	"Male"	135
"8. Plant and machine operators, and assemblers"	"Afghanistan"	2014	"Male"	181
"1. Managers"	"Afghanistan"	2020	"Male"	241
"0. Armed forces occupations"	"Afghanistan"	2014	"Male"	242
"4. Clerical support workers"	"Afghanistan"	2020	"Female"	207
"5. Service and sales workers"	"Afghanistan"	2020	"Female"	186
"7. Craft and related trades workers"	"Afghanistan"	2020	"Female"	112
"9. Elementary occupations"	"Afghanistan"	2020	"Female"	100
"5. Service and sales workers"	"Afghanistan"	2014	"Female"	81
"6. Skilled agricultural, forestry and fishery workers"	"Afghanistan"	2014	"Female"	83
"7. Craft and related trades workers"	"Afghanistan"	2014	"Female"	29
"0. Armed forces occupations"	"Afghanistan"	2020	"Male"	200
"3. Technicians and associate professionals"	"Afghanistan"	2020	"Female"	220
"2. Professionals"	"Afghanistan"	2020	"Female"	118
"9. Elementary occupations"	"Afghanistan"	2014	"Male"	107
"9. Elementary occupations"	"Afghanistan"	2014	"Female"	71
"4. Clerical support workers"	"Afghanistan"	2014	"Female"	219
"Total"	"Afghanistan"	2020	"Female"	141
"1. Managers"	"Afghanistan"	2020	"Female"	188
"8. Plant and machine operators, and assemblers"	"Albania"	2012	"Male"	3498
"2. Professionals"	"Albania"	2012	"Male"	4301
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2012	"Male"	2275
"1. Managers"	"Albania"	2015	"Female"	834
"3. Technicians and associate professionals"	"Albania"	2012	"Male"	3943
"4. Clerical support workers"	"Albania"	2012	"Male"	3925
"7. Craft and related trades workers"	"Albania"	2012	"Male"	3076
"Total"	"Albania"	2012	"Female"	2959
"2. Professionals"	"Albania"	2015	"Female"	508
"3. Technicians and associate professionals"	"Albania"	2015	"Female"	381
"5. Service and sales workers"	"Albania"	2012	"Male"	2646
"1. Managers"	"Albania"	2012	"Male"	5814
"5. Service and sales workers"	"Albania"	2012	"Female"	2322
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2012	"Female"	2039
"Total"	"Albania"	2012	"Male"	3426
"8. Plant and machine operators, and assemblers"	"Albania"	2012	"Female"	1744
"Total"	"Albania"	2015	"Female"	358
"Total"	"Albania"	2018	"Total"	468
"7. Craft and related trades workers"	"Albania"	2012	"Female"	1938
"9. Elementary occupations"	"Albania"	2012	"Male"	2904
"3. Technicians and associate professionals"	"Albania"	2018	"Total"	525
"1. Managers"	"Albania"	2012	"Female"	5508
"1. Managers"	"Albania"	2018	"Total"	917
"X. Not elsewhere classified"	"Albania"	2012	"Total"	2503
"4. Clerical support workers"	"Albania"	2012	"Female"	2844
"7. Craft and related trades workers"	"Albania"	2015	"Male"	264
"8. Plant and machine operators, and assemblers"	"Albania"	2015	"Male"	315
"9. Elementary occupations"	"Albania"	2015	"Male"	203
"0. Armed forces occupations"	"Albania"	2015	"Male"	455
"4. Clerical support workers"	"Albania"	2016	"Total"	385
"9. Elementary occupations"	"Albania"	2012	"Female"	1919
"Total"	"Albania"	2015	"Total"	372
"2. Professionals"	"Albania"	2018	"Total"	629
"2. Professionals"	"Albania"	2015	"Total"	532
"4. Clerical support workers"	"Albania"	2018	"Total"	492
"5. Service and sales workers"	"Albania"	2018	"Total"	350
"2. Professionals"	"Albania"	2012	"Female"	3795
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2015	"Male"	191
"Total"	"Albania"	2016	"Total"	383
"1. Managers"	"Albania"	2016	"Total"	773
"2. Professionals"	"Albania"	2016	"Total"	521
"3. Technicians and associate professionals"	"Albania"	2016	"Total"	420
"1. Managers"	"Albania"	2012	"Total"	5752
"2. Professionals"	"Albania"	2012	"Total"	3991
"3. Technicians and associate professionals"	"Albania"	2012	"Total"	3727
"1. Managers"	"Albania"	2015	"Total"	754
"5. Service and sales workers"	"Albania"	2012	"Total"	2530
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2012	"Total"	2241
"7. Craft and related trades workers"	"Albania"	2012	"Total"	2826
"8. Plant and machine operators, and assemblers"	"Albania"	2012	"Total"	3051
"3. Technicians and associate professionals"	"Albania"	2012	"Female"	3237
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2017	"Female"	237
"7. Craft and related trades workers"	"Albania"	2017	"Female"	228
"8. Plant and machine operators, and assemblers"	"Albania"	2017	"Female"	234
"9. Elementary occupations"	"Albania"	2017	"Female"	232
"0. Armed forces occupations"	"Albania"	2017	"Female"	488
"X. Not elsewhere classified"	"Albania"	2017	"Female"	0
"4. Clerical support workers"	"Albania"	2019	"Total"	511
"5. Service and sales workers"	"Albania"	2019	"Total"	358
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2019	"Total"	297
"7. Craft and related trades workers"	"Albania"	2019	"Total"	329
"8. Plant and machine operators, and assemblers"	"Albania"	2019	"Total"	331
"9. Elementary occupations"	"Albania"	2019	"Total"	290
"9. Elementary occupations"	"Albania"	2012	"Total"	2605
"7. Craft and related trades workers"	"Albania"	2018	"Total"	323
"8. Plant and machine operators, and assemblers"	"Albania"	2018	"Total"	328
"9. Elementary occupations"	"Albania"	2018	"Total"	282
"0. Armed forces occupations"	"Albania"	2018	"Total"	550
"X. Not elsewhere classified"	"Albania"	2018	"Total"	0
"Total"	"Albania"	2018	"Male"	492
"1. Managers"	"Albania"	2018	"Male"	920
"2. Professionals"	"Albania"	2018	"Male"	730
"3. Technicians and associate professionals"	"Albania"	2018	"Male"	555
"4. Clerical support workers"	"Albania"	2018	"Male"	485
"5. Service and sales workers"	"Albania"	2018	"Male"	383
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2018	"Male"	293
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2018	"Total"	287
"Total"	"Albania"	2019	"Female"	450
"1. Managers"	"Albania"	2019	"Female"	895
"2. Professionals"	"Albania"	2019	"Female"	588
"3. Technicians and associate professionals"	"Albania"	2019	"Female"	488
"Total"	"Albania"	2012	"Total"	3257
"8. Plant and machine operators, and assemblers"	"Albania"	2017	"Male"	330
"9. Elementary occupations"	"Albania"	2017	"Male"	250
"0. Armed forces occupations"	"Albania"	2017	"Male"	488
"4. Clerical support workers"	"Albania"	2012	"Total"	3478
"Total"	"Albania"	2015	"Male"	384
"1. Managers"	"Albania"	2015	"Male"	709
"2. Professionals"	"Albania"	2015	"Male"	560
"3. Technicians and associate professionals"	"Albania"	2015	"Male"	411
"4. Clerical support workers"	"Albania"	2015	"Male"	356
"5. Service and sales workers"	"Albania"	2015	"Male"	292
"X. Not elsewhere classified"	"Albania"	2018	"Female"	0
"Total"	"Albania"	2019	"Total"	477
"1. Managers"	"Albania"	2019	"Total"	887
"2. Professionals"	"Albania"	2019	"Total"	644
"3. Technicians and associate professionals"	"Albania"	2019	"Total"	542
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2020	"Total"	304
"7. Craft and related trades workers"	"Albania"	2020	"Total"	339
"8. Plant and machine operators, and assemblers"	"Albania"	2020	"Total"	340
"9. Elementary occupations"	"Albania"	2020	"Total"	295
"0. Armed forces occupations"	"Albania"	2020	"Total"	588
"X. Not elsewhere classified"	"Albania"	2020	"Total"	0
"0. Armed forces occupations"	"Albania"	2019	"Total"	571
"X. Not elsewhere classified"	"Albania"	2019	"Total"	0
"Total"	"Albania"	2019	"Male"	500
"1. Managers"	"Albania"	2019	"Male"	882
"2. Professionals"	"Albania"	2019	"Male"	742
"3. Technicians and associate professionals"	"Albania"	2019	"Male"	588
"4. Clerical support workers"	"Albania"	2019	"Male"	525
"5. Service and sales workers"	"Albania"	2019	"Male"	396
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2019	"Male"	302
"7. Craft and related trades workers"	"Albania"	2019	"Male"	361
"8. Plant and machine operators, and assemblers"	"Albania"	2019	"Male"	371
"9. Elementary occupations"	"Albania"	2019	"Male"	299
"0. Armed forces occupations"	"Albania"	2019	"Male"	573
"X. Not elsewhere classified"	"Albania"	2019	"Male"	0
"9. Elementary occupations"	"Albania"	2016	"Total"	219
"7. Craft and related trades workers"	"Albania"	2018	"Male"	361
"3. Technicians and associate professionals"	"Albania"	2015	"Total"	399
"4. Clerical support workers"	"Albania"	2015	"Total"	367
"5. Service and sales workers"	"Albania"	2015	"Total"	272
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2015	"Total"	187
"7. Craft and related trades workers"	"Albania"	2015	"Total"	256
"8. Plant and machine operators, and assemblers"	"Albania"	2015	"Total"	268
"X. Not elsewhere classified"	"Albania"	2017	"Male"	0
"Total"	"Albania"	2017	"Female"	386
"1. Managers"	"Albania"	2017	"Female"	800
"2. Professionals"	"Albania"	2017	"Female"	503
"3. Technicians and associate professionals"	"Albania"	2017	"Female"	424
"4. Clerical support workers"	"Albania"	2017	"Female"	429
"5. Service and sales workers"	"Albania"	2017	"Female"	268
"0. Armed forces occupations"	"Albania"	2018	"Female"	539
"1. Managers"	"Albania"	2020	"Total"	883
"2. Professionals"	"Albania"	2020	"Total"	661
"3. Technicians and associate professionals"	"Albania"	2020	"Total"	552
"4. Clerical support workers"	"Albania"	2020	"Total"	534
"5. Service and sales workers"	"Albania"	2020	"Total"	372
"4. Clerical support workers"	"Albania"	2016	"Female"	392
"5. Service and sales workers"	"Albania"	2016	"Female"	240
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2016	"Female"	213
"7. Craft and related trades workers"	"Albania"	2016	"Female"	207
"8. Plant and machine operators, and assemblers"	"Albania"	2016	"Female"	212
"4. Clerical support workers"	"Albania"	2015	"Female"	377
"5. Service and sales workers"	"Albania"	2015	"Female"	235
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2015	"Female"	166
"7. Craft and related trades workers"	"Albania"	2015	"Female"	262
"8. Plant and machine operators, and assemblers"	"Albania"	2015	"Female"	237
"9. Elementary occupations"	"Albania"	2015	"Female"	195
"0. Armed forces occupations"	"Albania"	2015	"Female"	407
"4. Clerical support workers"	"Albania"	2017	"Total"	427
"5. Service and sales workers"	"Albania"	2017	"Total"	309
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2017	"Total"	251
"5. Service and sales workers"	"Albania"	2016	"Total"	281
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2016	"Total"	223
"7. Craft and related trades workers"	"Albania"	2016	"Total"	253
"8. Plant and machine operators, and assemblers"	"Albania"	2016	"Total"	258
"1. Managers"	"Albania"	2017	"Male"	801
"0. Armed forces occupations"	"Albania"	2016	"Total"	435
"X. Not elsewhere classified"	"Albania"	2016	"Total"	0
"Total"	"Albania"	2016	"Male"	403
"1. Managers"	"Albania"	2016	"Male"	780
"2. Professionals"	"Albania"	2016	"Male"	618
"3. Technicians and associate professionals"	"Albania"	2016	"Male"	443
"4. Clerical support workers"	"Albania"	2016	"Male"	375
"9. Elementary occupations"	"Albania"	2015	"Total"	202
"0. Armed forces occupations"	"Albania"	2015	"Total"	446
"5. Service and sales workers"	"Albania"	2018	"Female"	301
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2018	"Female"	270
"7. Craft and related trades workers"	"Albania"	2018	"Female"	263
"8. Plant and machine operators, and assemblers"	"Albania"	2018	"Female"	271
"9. Elementary occupations"	"Albania"	2018	"Female"	268
"Total"	"Albania"	2020	"Total"	494
"0. Armed forces occupations"	"Albania"	2016	"Male"	435
"X. Not elsewhere classified"	"Albania"	2016	"Male"	0
"Total"	"Albania"	2016	"Female"	357
"1. Managers"	"Albania"	2016	"Female"	755
"2. Professionals"	"Albania"	2016	"Female"	465
"3. Technicians and associate professionals"	"Albania"	2016	"Female"	388
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2020	"Male"	311
"7. Craft and related trades workers"	"Albania"	2017	"Total"	282
"8. Plant and machine operators, and assemblers"	"Albania"	2017	"Total"	287
"9. Elementary occupations"	"Albania"	2017	"Total"	243
"9. Elementary occupations"	"Albania"	2016	"Female"	209
"0. Armed forces occupations"	"Albania"	2016	"Female"	437
"X. Not elsewhere classified"	"Albania"	2016	"Female"	0
"Total"	"Albania"	2017	"Total"	411
"1. Managers"	"Albania"	2017	"Total"	801
"2. Professionals"	"Albania"	2017	"Total"	557
"3. Technicians and associate professionals"	"Albania"	2017	"Total"	454
"4. Clerical support workers"	"Albania"	2020	"Male"	549
"5. Service and sales workers"	"Albania"	2020	"Male"	413
"9. Elementary occupations"	"Albania"	2020	"Female"	283
"0. Armed forces occupations"	"Albania"	2020	"Female"	575
"X. Not elsewhere classified"	"Albania"	2020	"Female"	0
"4. Clerical support workers"	"Albania"	2018	"Female"	496
"0. Armed forces occupations"	"Albania"	2017	"Total"	488
"X. Not elsewhere classified"	"Albania"	2017	"Total"	0
"2. Professionals"	"Albania"	2017	"Male"	652
"3. Technicians and associate professionals"	"Albania"	2017	"Male"	475
"4. Clerical support workers"	"Albania"	2017	"Male"	423
"5. Service and sales workers"	"Albania"	2017	"Male"	337
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2017	"Male"	256
"7. Craft and related trades workers"	"Albania"	2017	"Male"	316
"8. Plant and machine operators, and assemblers"	"Albania"	2020	"Female"	288
"Total"	"Albania"	2018	"Female"	440
"1. Managers"	"Albania"	2018	"Female"	911
"7. Craft and related trades workers"	"Albania"	2020	"Male"	367
"8. Plant and machine operators, and assemblers"	"Albania"	2020	"Male"	374
"9. Elementary occupations"	"Albania"	2019	"Female"	276
"0. Armed forces occupations"	"Albania"	2019	"Female"	555
"X. Not elsewhere classified"	"Albania"	2019	"Female"	0
"9. Elementary occupations"	"Albania"	2016	"Male"	225
"Total"	"Albania"	2020	"Male"	509
"1. Managers"	"Albania"	2020	"Male"	874
"2. Professionals"	"Albania"	2020	"Male"	748
"3. Technicians and associate professionals"	"Albania"	2020	"Male"	585
"X. Not elsewhere classified"	"Albania"	2018	"Male"	0
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2020	"Female"	281
"4. Clerical support workers"	"Albania"	2019	"Female"	498
"2. Professionals"	"Albania"	2018	"Female"	571
"3. Technicians and associate professionals"	"Albania"	2018	"Female"	484
"9. Elementary occupations"	"Albania"	2020	"Male"	302
"0. Armed forces occupations"	"Albania"	2020	"Male"	590
"X. Not elsewhere classified"	"Albania"	2020	"Male"	0
"Total"	"Albania"	2017	"Male"	432
"2. Professionals"	"Albania"	2020	"Female"	612
"8. Plant and machine operators, and assemblers"	"Albania"	2018	"Male"	374
"9. Elementary occupations"	"Albania"	2018	"Male"	292
"0. Armed forces occupations"	"Albania"	2018	"Male"	551
"5. Service and sales workers"	"Albania"	2020	"Female"	314
"8. Plant and machine operators, and assemblers"	"Albania"	2019	"Female"	281
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2016	"Male"	227
"5. Service and sales workers"	"Albania"	2019	"Female"	304
"6. Skilled agricultural, forestry and fishery workers"	"Albania"	2019	"Female"	281
"Total"	"Albania"	2020	"Female"	476
"1. Managers"	"Albania"	2020	"Female"	897
"7. Craft and related trades workers"	"Albania"	2016	"Male"	281
"8. Plant and machine operators, and assemblers"	"Albania"	2016	"Male"	296
"7. Craft and related trades workers"	"Albania"	2019	"Female"	274
"3. Technicians and associate professionals"	"Albania"	2020	"Female"	513
"4. Clerical support workers"	"Albania"	2020	"Female"	521
"5. Service and sales workers"	"Albania"	2016	"Male"	307
"7. Craft and related trades workers"	"Albania"	2020	"Female"	283
"4. Clerical support workers"	"Argentina"	2014	"Total"	917
"2. Professionals"	"Argentina"	2014	"Total"	1014
"5. Service and sales workers"	"Argentina"	2014	"Total"	691
"7. Craft and related trades workers"	"Argentina"	2014	"Total"	731
"3. Technicians and associate professionals"	"Argentina"	2014	"Total"	1036
"X. Not elsewhere classified"	"Argentina"	2011	"Male"	1065
"9. Elementary occupations"	"Argentina"	2014	"Total"	418
"X. Not elsewhere classified"	"Argentina"	2014	"Total"	1107
"9. Elementary occupations"	"Argentina"	2013	"Female"	380
"X. Not elsewhere classified"	"Argentina"	2013	"Female"	1140
"Total"	"Argentina"	2014	"Total"	800
"1. Managers"	"Argentina"	2014	"Total"	1759
"4. Clerical support workers"	"Argentina"	2014	"Male"	985
"5. Service and sales workers"	"Argentina"	2014	"Male"	830
"6. Skilled agricultural, forestry and fishery workers"	"Argentina"	2014	"Male"	630
"6. Skilled agricultural, forestry and fishery workers"	"Argentina"	2014	"Total"	628
"1. Managers"	"Argentina"	2011	"Female"	1355
"2. Professionals"	"Argentina"	2011	"Female"	886
"8. Plant and machine operators, and assemblers"	"Argentina"	2014	"Total"	855
"6. Skilled agricultural, forestry and fishery workers"	"Argentina"	2019	"Female"	406
"7. Craft and related trades workers"	"Argentina"	2019	"Female"	425
"8. Plant and machine operators, and assemblers"	"Argentina"	2013	"Female"	657
"4. Clerical support workers"	"Argentina"	2011	"Male"	977
"5. Service and sales workers"	"Argentina"	2011	"Male"	772
"6. Skilled agricultural, forestry and fishery workers"	"Argentina"	2011	"Male"	729
"7. Craft and related trades workers"	"Argentina"	2011	"Male"	709
"8. Plant and machine operators, and assemblers"	"Argentina"	2011	"Male"	834
"9. Elementary occupations"	"Argentina"	2011	"Male"	489
"Total"	"Argentina"	2011	"Female"	643
"3. Technicians and associate professionals"	"Argentina"	2019	"Female"	644
"4. Clerical support workers"	"Argentina"	2019	"Female"	583
"5. Service and sales workers"	"Argentina"	2019	"Female"	325
"X. Not elsewhere classified"	"Argentina"	2014	"Male"	1128
"Total"	"Argentina"	2014	"Female"	674
"8. Plant and machine operators, and assemblers"	"Argentina"	2019	"Female"	331
"Total"	"Argentina"	2014	"Male"	898
"1. Managers"	"Argentina"	2014	"Male"	1900
"2. Professionals"	"Argentina"	2014	"Male"	1276
"3. Technicians and associate professionals"	"Argentina"	2014	"Male"	1128
"X. Not elsewhere classified"	"Argentina"	2011	"Female"	991
"Total"	"Argentina"	2012	"Total"	865
"2. Professionals"	"Argentina"	2019	"Female"	619
"7. Craft and related trades workers"	"Argentina"	2014	"Male"	743
"8. Plant and machine operators, and assemblers"	"Argentina"	2014	"Male"	877
"9. Elementary occupations"	"Argentina"	2014	"Male"	549
"4. Clerical support workers"	"Argentina"	2013	"Female"	985
"5. Service and sales workers"	"Argentina"	2013	"Female"	627
"6. Skilled agricultural, forestry and fishery workers"	"Argentina"	2013	"Female"	584
"7. Craft and related trades workers"	"Argentina"	2013	"Female"	757
"7. Craft and related trades workers"	"Argentina"	2019	"Male"	479
"8. Plant and machine operators, and assemblers"	"Argentina"	2019	"Male"	585
"9. Elementary occupations"	"Argentina"	2019	"Male"	347
"X. Not elsewhere classified"	"Argentina"	2019	"Male"	766
"Total"	"Argentina"	2019	"Female"	454
"1. Managers"	"Argentina"	2012	"Total"	1986
"9. Elementary occupations"	"Argentina"	2017	"Total"	476
"X. Not elsewhere classified"	"Argentina"	2017	"Total"	892
"Total"	"Argentina"	2017	"Male"	989
"1. Managers"	"Argentina"	2017	"Male"	2322
"2. Professionals"	"Argentina"	2017	"Male"	1369
"3. Technicians and associate professionals"	"Argentina"	2011	"Female"	919
"4. Clerical support workers"	"Argentina"	2011	"Female"	805
"9. Elementary occupations"	"Argentina"	2019	"Female"	214
"X. Not elsewhere classified"	"Argentina"	2019	"Female"	721
"Total"	"Argentina"	2020	"Total"	514
"1. Managers"	"Argentina"	2020	"Total"	1179
"2. Professionals"	"Argentina"	2020	"Total"	639
"1. Managers"	"Argentina"	2019	"Female"	1178
"4. Clerical support workers"	"Argentina"	2020	"Total"	570
"5. Service and sales workers"	"Argentina"	2020	"Total"	391
"6. Skilled agricultural, forestry and fishery workers"	"Argentina"	2020	"Total"	287
"7. Craft and related trades workers"	"Argentina"	2020	"Total"	449
"8. Plant and machine operators, and assemblers"	"Argentina"	2020	"Total"	504
"9. Elementary occupations"	"Argentina"	2020	"Total"	252
"X. Not elsewhere classified"	"Argentina"	2020	"Total"	595
"1. Managers"	"Argentina"	2014	"Female"	1557
"8. Plant and machine operators, and assemblers"	"Argentina"	2012	"Total"	915
"9. Elementary occupations"	"Argentina"	2012	"Total"	434
"X. Not elsewhere classified"	"Argentina"	2012	"Total"	1073
"Total"	"Argentina"	2012	"Male"	972
"3. Technicians and associate professionals"	"Argentina"	2020	"Total"	670
"X. Not elsewhere classified"	"Argentina"	2013	"Male"	1214
"Total"	"Argentina"	2013	"Female"	769
"1. Managers"	"Argentina"	2013	"Female"	1702
"3. Technicians and associate professionals"	"Argentina"	2013	"Female"	1091
"X. Not elsewhere classified"	"Argentina"	2014	"Female"	1067
"Total"	"Argentina"	2017	"Total"	875
"1. Managers"	"Argentina"	2017	"Total"	2015
"2. Professionals"	"Argentina"	2017	"Total"	1116
"3. Technicians and associate professionals"	"Argentina"	2017	"Total"	1223
"4. Clerical support workers"	"Argentina"	2017	"Total"	1075
"5. Service and sales workers"	"Argentina"	2017	"Total"	734
"6. Skilled agricultural, forestry and fishery workers"	"Argentina"	2017	"Total"	683
"7. Craft and related trades workers"	"Argentina"	2017	"Total"	813
"8. Plant and machine operators, and assemblers"	"Argentina"	2017	"Total"	928
"Total"	"Argentina"	2010	"Male"	695
"1. Managers"	"Argentina"	2010	"Male"	1617
"2. Professionals"	"Argentina"	2010	"Male"	1014
"3. Technicians and associate professionals"	"Argentina"	2010	"Male"	933
"4. Clerical support workers"	"Argentina"	2010	"Male"	779
"5. Service and sales workers"	"Argentina"	2010	"Male"	616
"6. Skilled agricultural, forestry and fishery workers"	"Argentina"	2010	"Male"	600
"5. Service and sales workers"	"Argentina"	2011	"Female"	534
"6. Skilled agricultural, forestry and fishery workers"	"Argentina"	2011	"Female"	541
"7. Craft and related trades workers"	"Argentina"	2011	"Female"	583
"8. Plant and machine operators, and assemblers"	"Argentina"	2011	"Female"	522
"9. Elementary occupations"	"Argentina"	2011	"Female"	306
"9. Elementary occupations"	"Argentina"	2017	"Male"	608
"X. Not elsewhere classified"	"Argentina"	2017	"Male"	1001
"Total"	"Argentina"	2017	"Female"	740
"2. Professionals"	"Argentina"	2012	"Total"	1112
"3. Technicians and associate professionals"	"Argentina"	2012	"Total"	1163
"4. Clerical support workers"	"Argentina"	2012	"Total"	1014
"5. Service and sales workers"	"Argentina"	2012	"Total"	769
"6. Skilled agricultural, forestry and fishery workers"	"Argentina"	2012	"Total"	733
"7. Craft and related trades workers"	"Argentina"	2012	"Total"	802
"X. Not elsewhere classified"	"Argentina"	2010	"Female"	663
"Total"	"Argentina"	2011	"Total"	767
"2. Professionals"	"Argentina"	2014	"Female"	882
"3. Technicians and associate professionals"	"Argentina"	2014	"Female"	918
"4. Clerical support workers"	"Argentina"	2014	"Female"	858
"5. Service and sales workers"	"Argentina"	2014	"Female"	528
"6. Skilled agricultural, forestry and fishery workers"	"Argentina"	2014	"Female"	606
"7. Craft and related trades workers"	"Argentina"	2014	"Female"	546
"2. Professionals"	"Argentina"	2013	"Female"	1009
"2. Professionals"	"Argentina"	2019	"Male"	834
"3. Technicians and associate professionals"	"Argentina"	2019	"Male"	779
"4. Clerical support workers"	"Argentina"	2019	"Male"	675
"5. Service and sales workers"	"Argentina"	2019	"Male"	507
"6. Skilled agricultural, forestry and fishery workers"	"Argentina"	2019	"Male"	378
"6. Skilled agricultural, forestry and fishery workers"	"Argentina"	2010	"Total"	637
"7. Craft and related trades workers"	"Argentina"	2010	"Total"	554
"8. Plant and machine operators, and assemblers"	"Argentina"	2010	"Total"	675
"9. Elementary occupations"	"Argentina"	2010	"Total"	313
"X. Not elsewhere classified"	"Argentina"	2010	"Total"	698
"6. Skilled agricultural, forestry and fishery workers"	"Argentina"	2020	"Female"	201
"7. Craft and related trades workers"	"Argentina"	2020	"Female"	401
"8. Plant and machine operators, and assemblers"	"Argentina"	2020	"Female"	331
"9. Elementary occupations"	"Argentina"	2020	"Female"	201
"X. Not elsewhere classified"	"Argentina"	2020	"Female"	523
"X. Not elsewhere classified"	"Argentina"	2012	"Female"	1072
"Total"	"Argentina"	2013	"Total"	912
"7. Craft and related trades workers"	"Argentina"	2010	"Male"	556
"8. Plant and machine operators, and assemblers"	"Argentina"	2010	"Male"	681
"9. Elementary occupations"	"Argentina"	2010	"Male"	410
"X. Not elsewhere classified"	"Argentina"	2010	"Male"	711
"Total"	"Argentina"	2010	"Female"	525
"1. Managers"	"Argentina"	2010	"Female"	1252
"2. Professionals"	"Argentina"	2010	"Female"	744
"3. Technicians and associate professionals"	"Argentina"	2010	"Female"	743
"4. Clerical support workers"	"Argentina"	2010	"Female"	659
"5. Service and sales workers"	"Argentina"	2010	"Female"	416
"6. Skilled agricultural, forestry and fishery workers"	"Argentina"	2010	"Female"	830
"7. Craft and related trades workers"	"Argentina"	2010	"Female"	468
"8. Plant and machine operators, and assemblers"	"Argentina"	2010	"Female"	471
