countryCode	countryName	continent	paidVacDays	paidHoliday	paidLeaveTotal
RUS	Russia	Europe	20	14	34
RWA	Rwanda	Africa	15	11	26
SAS	South Asia	NA	NA	NA	NA
SAU	Saudi Arabia	Asia	21	9	30
SDN	Sudan	Africa	20	NA	NA
SEN	Senegal	Africa	20	12	32
SGP	Singapore	Asia	7	11	18
SLB	Solomon Islands	Oceania	15	0	15
SLE	Sierra Leone	Africa	18	NA	NA
SLV	El Salvador	North America	15	11	26
SMR	San Marino	Europe	10	NA	NA
SOM	Somalia	Africa	13	9	22
SRB	Serbia	Europe	20	11	31
SSA	Sub-Saharan Africa (excluding high income)	NA	NA	NA	NA
SSD	South Sudan	Africa	20	12	32
SSF	Sub-Saharan Africa	NA	NA	NA	NA
STP	Sao Tome and Principe	Africa	25	9	34
SUR	Suriname	South America	12	18	30
SVK	Slovakia	Europe	25	15	40
SVN	Slovenia	Europe	20	13	33
SWE	Sweden	Europe	25	9	34
SWZ	Swaziland	Africa	10	NA	NA
SXM	Sint Maarten	North America	NA	NA	NA
SYC	Seychelles	Africa	21	13	34
SYR	Syria	Asia	24	13	37
TCA	Turks and Caicos Islands	North America	NA	NA	NA
TCD	Chad	Africa	24	3	27
TGO	Togo	Africa	22	0	22
THA	Thailand	Asia	6	13	19
TJK	Tajikistan	Asia	NA	NA	NA
TKM	Turkmenistan	Asia	NA	NA	NA
TLS	East Timor	Asia	12	NA	NA
TON	Tonga	Oceania	0	NA	NA
TTO	Trinidad and Tobago	North America	10	14	24
TUN	Tunisia	Africa	10	6	16
TUR	Turkey	Asia	12	14	26
TUV	Tuvalu	Oceania	NA	NA	NA
TZA	Tanzania	Africa	20	17	37
UGA	Uganda	Africa	15	13	28
UKR	Ukraine	Europe	24	13	37
UMC	Upper middle income	NA	NA	NA	NA
URY	Uruguay	South America	20	5	25
USA	United States	North America	0	0	0
UZB	Uzbekistan	Asia	15	NA	NA
VCT	Saint Vincent and the Grenadines	North America	16	NA	NA
VEN	Venezuela	South America	15	NA	NA
VGB	British Virgin Islands	North America	NA	NA	NA
VIR	Virgin Islands	North America	NA	NA	NA
VNM	Vietnam	Asia	12	11	23
VUT	Vanuatu	Oceania	15	0	15
WLD	World	NA	NA	NA	NA
WSM	Samoa	Oceania	10	11	21
XKX	Kosovo	Europe	20	12	32
YEM	Yemen	Asia	22	15	37
ZAF	South Africa	Africa	15	12	27
ZMB	Zambia	Africa	20	11	31
ZWE	Zimbabwe	Africa	22	11	33
